职位,工资,经验,学历,公司规模
cocos2d-x初级工程师,4k-6k,不限,不限,15-50人
高级Linux开发工程师,15k-25k,3-5年,本科,500-2000人
Android系统开发工程师,15k-20k,3-5年,本科,150-500人
容器开发工程师,15k-30k,应届毕业生,本科,15-50人
运维工程师,8k-13k,不限,本科,15-50人
数据仓库开发工程师,18k-25k,3-5年,本科,2000人以上
高级后台开发工程师,25k-35k,3-5年,本科,150-500人
云平台研发工程师,20k-40k,3-5年,本科,2000人以上
投放研发工程师-广告系统,30k-60k,3-5年,本科,2000人以上
高级平台开发工程师,15k-25k,5-10年,本科,500-2000人
111268-资深Java开发工程师ZJ,10k-20k,1-3年,本科,2000人以上
大数据开发工程师,15k-20k,1-3年,本科,150-500人
NLP工程师,15k-30k,1-3年,硕士,500-2000人
c/c++开发岗（业务研发部）,15k-25k,1-3年,本科,150-500人
java工程师,10k-20k,3-5年,本科,500-2000人
C++资深开发工程师/架构师,20k-40k,3-5年,本科,150-500人
运维工程师,8k-15k,3-5年,本科,50-150人
机械臂软件开发工程师（深圳）,18k-35k,不限,本科,500-2000人
数据平台开发工程师,30k-60k,5-10年,本科,500-2000人
后端工程师（深圳）,10k-20k,3-5年,本科,15-50人
自然语言处理工程师,25k-50k,3-5年,硕士,500-2000人
高级图像算法研发工程师-抖音,35k-65k,不限,本科,2000人以上
SDK工程师,8k-16k,1-3年,大专,2000人以上
自动化测试工程师,10k-20k,3-5年,本科,150-500人
存储技术工程师(深圳),10k-15k,不限,本科,2000人以上
高级算法工程师,30k-45k,3-5年,本科,150-500人
高级安全工程师,11k-22k,3-5年,大专,50-150人
运维工程师,10k-18k,不限,本科,150-500人
推荐系统开发工程师,15k-30k,3-5年,本科,50-150人
