职位,工资,经验,学历,公司规模
运维工程师,6k-9k,1-3年,大专,2000人以上
生物信息学分析师,10k-15k,不限,本科,50-150人
web前端开发工程师,8k-15k,1-3年,本科,15-50人
算法工程师,10k-20k,1-3年,本科,15-50人
大数据开发,8k-15k,1-3年,本科,500-2000人
信息科技部云平台管理部技术经理,20k-40k,3-5年,本科,150-500人
运维工程师,15k-30k,不限,本科,2000人以上
测试工程师,9k-18k,3-5年,大专,150-500人
dba工程师,8k-13k,1-3年,本科,150-500人
人工智能算法类实习生,4k-6k,应届毕业生,本科,50-150人
大数据开发,15k-25k,3-5年,本科,500-2000人
数据分析课程老师,10k-15k,不限,硕士,50-150人
测试工程师,12k-15k,1-3年,本科,50-150人
高级软件工程师Cloud Services,20k-27k,5-10年,本科,500-2000人
DEVOPS工程师,15k-25k,1-3年,本科,2000人以上
软件测试工程师,4k-7k,1-3年,本科,150-500人
数据分析,8k-15k,1-3年,本科,500-2000人
实施工程师（南京） (MJ000176),7k-14k,不限,大专,150-500人
测试工程师（运满满）,13k-26k,3-5年,本科,500-2000人
测试工程师（南京）,8k-16k,1-3年,本科,50-150人
数据分析师,7k-11k,1-3年,本科,50-150人
资深业务运维工程师（南京）,30k-40k,5-10年,本科,2000人以上
大数据开发,12k-22k,3-5年,本科,500-2000人
渗透测试工程师,8k-15k,1-3年,大专,50-150人
大数据工程师实习生（国际化平台 海归团队）,2k-4k,应届毕业生,不限,少于15人
数据分析师,10k-13k,1-3年,硕士,150-500人
c++后台,13k-17k,3-5年,本科,150-500人
算法工程师数据挖掘,15k-25k,1-3年,硕士,15-50人
软件测试工程师,8k-10k,1-3年,本科,50-150人
图像处理,9k-18k,1年以下,本科,少于15人
深度学习工程师,10k-15k,应届毕业生,硕士,2000人以上
JAVA后台开发,12k-20k,3-5年,本科,500-2000人
数据分析工程师,10k-20k,1-3年,本科,15-50人
数据爬虫工程师,5k-10k,不限,本科,15-50人
爬虫,8k-16k,1-3年,大专,15-50人
数据分析师风控,10k-15k,应届毕业生,硕士,15-50人
软件测试主管,7k-10k,1-3年,本科,150-500人
前端工程师（实习岗）,4k-6k,应届毕业生,不限,150-500人
Web后端开发工程师,10k-20k,不限,本科,500-2000人
芯片Firmware开发工程师,15k-25k,不限,本科,500-2000人
芯片Firmware开发工程师（原型验证方向）,15k-25k,3-5年,本科,500-2000人
芯片验证工程师,15k-25k,不限,本科,500-2000人
PHP后端开发工程师,10k-20k,1-3年,本科,500-2000人
算法工程师,10k-20k,不限,硕士,500-2000人
语音识别工程师,17k-33k,3-5年,硕士,150-500人
无人驾驶软件工程师,15k-30k,3-5年,硕士,50-150人
无人驾驶软件工程师,15k-30k,3-5年,硕士,50-150人
无人驾驶测试工程师,15k-30k,3-5年,硕士,50-150人
资深Java开发工程师-南京MIUI,25k-40k,5-10年,硕士,2000人以上
运维工程师,10k-20k,3-5年,本科,2000人以上
数据分析师/数据科学家,10k-20k,3-5年,本科,150-500人
资深移动开发工程师（Android）-TMMS,15k-25k,3-5年,本科,2000人以上
自然语言处理工程师,20k-30k,不限,本科,500-2000人
机器学习开发工程师,20k-30k,不限,硕士,2000人以上
DBA,12k-24k,3-5年,本科,2000人以上
移动威胁大数据研发工程师,15k-25k,3-5年,本科,2000人以上
智能驾驶计算机视觉算法工程师,15k-30k,不限,硕士,500-2000人
应用运维开发工程师（SRE）,10k-20k,不限,本科,500-2000人
软件测试工程师,10k-20k,不限,本科,500-2000人
资深数据挖掘算法工程师,15k-30k,不限,本科,500-2000人
语音合成（TTS）算法工程师,15k-30k,不限,不限,500-2000人
数据挖掘工程师（自然语言）,12k-24k,1-3年,本科,2000人以上
数据挖掘算法工程师,10k-20k,不限,不限,500-2000人
系统运维工程师,10k-20k,不限,本科,500-2000人
大数据开发工程师校招,15k-25k,3-5年,本科,2000人以上
前端开发负责人,25k-40k,5-10年,硕士,2000人以上
服务端测试开发工程师,15k-20k,3-5年,本科,2000人以上
无人驾驶算法工程师,15k-30k,应届毕业生,硕士,50-150人
软件研发工程师实习生,3k-5k,应届毕业生,本科,500-2000人
Java 架构师,25k-35k,5-10年,本科,2000人以上
